TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,0,0,7808,7808,0,0,0,0,0,7808,0,7808
2,0,0,7808,7808,0,0,0,0,0,7808,0,7808
3,0,0,7808,7808,0,0,0,0,0,7808,0,7808
4,0,0,7808,7808,0,0,0,0,0,7808,0,7808
5,0,0,7808,7808,0,0,0,0,0,7808,0,7808
6,0,0,7808,7808,0,0,0,0,0,7808,0,7808
7,0,0,7808,7808,0,0,0,0,0,7808,0,7808
8,0,0,7808,7808,0,0,0,0,0,7808,0,7808
9,0,0,7808,7808,0,0,0,0,0,7808,0,7808
10,0,0,7808,7808,0,0,0,0,0,7808,0,7808
11,0,0,0,0,7808,9224,0,0,0,7808,0,7808
12,0,0,0,0,7808,9224,0,0,0,7808,0,7808
13,0,0,0,0,7808,9224,0,0,0,7808,0,7808
14,0,0,0,0,7808,9224,0,0,0,7808,0,7808
15,0,0,0,0,7808,9224,0,0,0,7808,0,7808
16,0,0,0,0,7808,9224,0,0,0,7808,0,7808
17,0,0,0,0,7808,9224,0,0,0,7808,0,7808
18,0,0,0,0,7808,9224,0,0,0,7808,0,7808
19,0,0,0,0,7808,9224,0,0,0,7808,0,7808
20,0,0,0,0,7808,9224,0,0,0,7808,0,7808
21,0,0,9224,9224,0,0,0,9224,0,0,9224,0
22,0,0,9224,9224,0,0,0,9224,0,0,9224,0
23,0,0,9224,9224,0,0,0,9224,0,0,9224,0
24,0,0,9224,9224,0,0,0,9224,0,0,9224,0
25,0,0,9224,9224,0,0,0,9224,0,0,9224,0
26,0,0,9224,9224,0,0,0,9224,0,0,9224,0
27,0,0,9224,9224,0,0,0,9224,0,0,9224,0
28,0,0,9224,9224,0,0,0,9224,0,0,9224,0
29,0,0,9224,9224,0,0,0,9224,0,0,9224,0
30,0,0,9224,9224,0,0,0,9224,0,0,9224,0
31,9224,0,0,0,7808,9224,9224,0,0,0,0,0
32,9224,0,0,0,7808,9224,9224,0,0,0,0,0
33,9224,0,0,0,7808,9224,9224,0,0,0,0,0
34,9224,0,0,0,7808,9224,9224,0,0,0,0,0
35,9224,0,0,0,7808,9224,9224,0,0,0,0,0
36,9224,0,0,0,7808,9224,9224,0,0,0,0,0
37,9224,0,0,0,7808,9224,9224,0,0,0,0,0
38,9224,0,0,0,7808,9224,9224,0,0,0,0,0
39,9224,0,0,0,7808,9224,9224,0,0,0,0,0
40,9224,0,0,0,7808,9224,9224,0,0,0,0,0
41,0,9224,9224,0,9224,0,0,9224,0,0,0,0
42,0,9224,9224,0,9224,0,0,9224,0,0,0,0
43,0,9224,9224,0,9224,0,0,9224,0,0,0,0
44,0,9224,9224,0,9224,0,0,9224,0,0,0,0
